pacc,rt,accumulator
1,0.1717,2
2,0.2733,1
3,0.179,2
4,0.2536,2
5,0.17809999999999998,1
6,0.25989999999999996,2
7,0.1691,2
8,0.1689,2
9,0.1879,2
10,0.26230000000000003,2
11,0.1921,2
12,0.2379,1
13,0.36119999999999997,1
14,0.30219999999999997,1
15,0.2707,2
16,0.5184,1
17,0.4742,1
18,0.44430000000000003,2
19,0.4722,1
20,0.464,1
21,0.2832,1
22,0.4112,1
23,0.4752,1
24,0.4149,2
24,0.431,1
24,0.42460000000000003,1
24,0.41919999999999996,1
24,0.3614,1
24,0.4868,1
24,0.3877,1
23,0.4476,1
22,0.42960000000000004,1
21,0.4398,1
20,0.3383,2
19,0.6297,1
18,0.4913,2
17,0.44489999999999996,1
16,0.43639999999999995,1
15,0.4093,1
14,0.3825,1
13,0.1721,2
12,0.1805,1
11,0.1822,1
10,0.1674,1
9,0.2379,1
10,0.1755,2
11,0.1829,2
12,0.18380000000000002,2
13,0.1635,1
14,0.6723,1
15,0.5298999999999999,1
16,0.6429,1
17,0.4506,1
18,0.3875,2
19,0.5206000000000001,1
20,0.6115,1
21,0.44239999999999996,1
22,0.4094,1
23,0.5548,1
24,0.4408,1
5,0.1492,1
6,0.1951,2
7,0.2122,1
8,0.2034,1
9,0.1891,1
10,0.2296,2
11,0.2833,2
12,0.19590000000000002,1
13,0.3765,1
14,0.5364,1
15,0.9224,1
16,0.4146,1
17,0.4617,1
18,0.5134,1
17,0.6191,2
16,0.4412,2
15,0.461,1
14,0.3222,1
13,0.44739999999999996,1
12,0.3514,2
11,0.18159999999999998,1
10,0.32430000000000003,2
9,0.2002,2
8,0.1921,2
7,0.49339999999999995,1
6,0.18359999999999999,1
5,0.1789,1
4,0.189,2
3,0.18880000000000002,2
2,0.1884,1
3,0.1973,1
4,0.1719,1
5,0.1866,1
6,0.1807,1
7,0.1586,1
8,0.2061,1
9,0.1935,1
10,0.3556,2
11,0.18730000000000002,1
12,0.319,1
13,0.2768,2
14,0.49960000000000004,1
15,0.4584,1
16,0.509,1
17,0.3937,1
18,0.5226000000000001,1
19,0.5194,2
20,0.4958,1
21,0.7715,1
22,0.48710000000000003,1
23,0.5867,1
24,0.5802999999999999,1
24,0.6613,1
23,0.9561000000000001,1
22,0.7074,1
21,0.5058,1
20,0.483,1
19,0.4512,1
18,0.6668999999999999,2
17,0.6068,1
16,0.5074,1
15,0.5171,2
14,0.7858999999999999,1
13,0.2522,1
12,0.24109999999999998,1
11,0.2388,2
10,0.2479,1
9,0.2241,1
8,0.1763,1
7,0.19169999999999998,1
6,0.3344,1
5,0.2062,1
4,0.1931,1
3,0.21730000000000002,2
2,0.3327,1
1,0.22,2
0,0.2164,2
0,0.1834,1
0,0.1814,1
0,0.18669999999999998,1
1,0.1685,2
2,0.1707,2
3,0.1812,1
4,0.1697,1
5,0.18730000000000002,1
6,0.1936,1
7,0.188,2
8,0.18980000000000002,2
9,0.183,2
10,0.18780000000000002,2
11,0.1988,1
12,0.18769999999999998,1
13,0.1795,2
14,0.275,1
15,0.4803,1
16,0.4428,1
17,0.30910000000000004,1
18,0.3629,1
19,0.38,2
20,0.33039999999999997,1
21,0.5942999999999999,1
22,0.3053,1
23,0.3383,1
24,0.5021,1
11,0.1768,2
12,0.18280000000000002,2
13,0.6185,1
14,0.5505,1
15,0.3557,1
16,0.3897,1
17,0.443,1
18,0.55,1
17,0.4762,1
16,0.37010000000000004,1
15,0.5729,1
14,0.4962,1
13,0.43069999999999997,1
12,0.471,1
11,0.3987,2
10,0.2109,2
9,0.2088,1
8,0.1812,2
7,0.2284,2
6,0.2005,1
7,0.43739999999999996,2
8,0.15719999999999998,2
9,0.18930000000000002,2
10,0.1918,2
11,0.1784,2
12,0.3135,2
13,0.32530000000000003,1
14,0.2841,1
15,0.4007,2
16,0.5515,1
17,0.5192,1
18,0.6086,1
19,0.3388,1
20,0.6808,1
21,0.6202000000000001,1
20,0.44260000000000005,1
19,0.4859,1
18,0.3845,1
17,0.4884,1
16,0.4224,1
15,0.5577000000000001,1
14,0.5631,1
13,0.43610000000000004,1
12,0.21819999999999998,1
11,0.26080000000000003,2
10,0.3068,1
9,0.43289999999999995,1
8,0.2164,1
7,0.2052,2
6,0.184,1
5,0.21,2
4,0.1772,1
5,0.1935,1
6,0.2223,1
7,0.1815,1
8,0.36119999999999997,1
9,0.2816,2
10,0.1717,1
11,0.1915,1
12,0.3451,1
13,0.4433,1
14,0.2326,2
15,0.4285,2
16,0.4088,1
17,0.4722,1
18,0.36760000000000004,2
19,0.5364,1
20,0.5008,1
22,0.9218,1
23,0.5068,1
24,0.5825,1
22,0.6533,1
21,0.5644,1
20,0.5417000000000001,1
18,0.5199,1
17,0.4053,1
16,0.456,1
15,0.5759,1
14,0.232,2
13,0.18869999999999998,1
12,0.1983,1
11,0.1726,2
10,0.1684,1
11,0.5177,2
12,0.5229,2
13,0.6022000000000001,2
14,0.669,1
15,0.4784,1
16,0.5845,1
17,0.4047,1
18,0.4512,1
19,0.4629,1
18,0.4575,1
17,0.36260000000000003,1
16,0.39339999999999997,1
15,0.3877,1
14,0.3068,1
13,0.30310000000000004,1
12,0.2932,1
11,0.18530000000000002,2
10,0.1753,1
9,0.209,2
8,0.1709,1
7,0.29769999999999996,2
6,0.1846,1
5,0.2386,2
4,0.18130000000000002,2
3,0.19390000000000002,1
2,0.1802,2
3,0.18159999999999998,1
4,0.2317,1
5,0.26280000000000003,1
6,0.3519,1
7,0.2313,2
8,0.3432,2
9,0.1795,1
10,0.2071,1
11,0.4152,2
12,0.205,2
13,0.42019999999999996,2
14,0.6435,1
15,0.5276000000000001,2
16,0.4658,1
17,0.4988,1
18,0.6553,1
19,0.44539999999999996,1
20,0.6221,1
21,0.48660000000000003,1
20,0.661,1
19,0.4288,1
18,0.3301,1
17,0.5582999999999999,1
16,0.5281,1
15,0.509,1
14,0.48919999999999997,1
13,0.7484,1
12,0.4674,1
11,0.4555,1
10,0.6897000000000001,2
9,0.3427,1
8,0.2551,2
7,0.19069999999999998,1
6,0.2053,2
5,0.21330000000000002,2
4,0.18530000000000002,1
3,0.347,2
2,0.1723,1
1,0.1895,1
0,0.1766,1
0,0.186,1
0,0.18180000000000002,1
1,0.1824,2
2,0.16369999999999998,1
3,0.19319999999999998,2
4,0.1827,2
5,0.18059999999999998,2
6,0.174,1
7,0.1409,2
8,0.26880000000000004,1
9,0.32689999999999997,2
10,0.19080000000000003,1
11,0.24280000000000002,1
12,0.21780000000000002,1
13,0.4095,1
14,0.33089999999999997,1
15,0.4164,1
16,0.3217,1
17,0.5256000000000001,1
18,0.4577,1
17,0.4973,1
16,0.4332,1
15,0.36619999999999997,1
14,0.2343,2
13,0.2879,2
12,0.3337,1
11,0.2797,2
10,0.3453,1
9,0.1718,1
8,0.16440000000000002,1
7,0.2284,2
6,0.2271,1
5,0.38730000000000003,1
4,0.2063,1
3,0.1761,1
2,0.1735,2
1,0.1759,1
0,0.111,2
1,0.36260000000000003,2
2,0.1829,1
3,0.22169999999999998,2
4,0.3083,1
5,0.2039,2
6,0.1972,2
7,0.1998,2
8,0.22440000000000002,1
9,0.30219999999999997,2
10,0.198,1
11,0.1755,1
12,0.19140000000000001,1
13,0.2132,1
14,0.2781,2
15,0.4658,1
16,0.37989999999999996,1
17,0.45080000000000003,1
18,0.4144,1
19,0.3035,1
20,0.5225,1
19,0.2999,2
18,0.471,1
17,0.4661,1
16,0.6192000000000001,1
15,0.4112,1
14,0.3433,1
13,0.489,1
12,0.5624,1
11,0.459,1
10,0.30160000000000003,2
9,0.3232,1
8,0.2394,2
7,0.1905,2
6,0.18280000000000002,1
5,0.1938,2
4,0.2112,1
3,0.2317,2
2,0.209,2
1,0.1895,2
0,0.19519999999999998,2
0,0.2811,1
19,0.43310000000000004,1
18,0.4348,1
17,0.44239999999999996,1
16,0.7594,2
15,0.48760000000000003,1
14,0.872,1
13,0.4727,2
12,0.2226,2
11,0.43839999999999996,2
10,0.2855,2
9,0.1983,1
8,0.43010000000000004,2
7,0.21409999999999998,2
6,0.1889,1
5,0.2853,1
4,0.2059,2
3,0.4535,1
2,0.3087,2
1,0.506,1
0,0.2049,1
0,0.1769,2
0,0.2362,2
0,0.1794,1
0,0.17909999999999998,2
0,0.153,1
0,0.1631,2
0,0.18059999999999998,2
1,0.18359999999999999,1
2,0.1824,1
3,0.2073,1
4,0.19669999999999999,1
5,0.2523,2
6,0.1773,1
7,0.19080000000000003,2
8,0.22080000000000002,1
9,0.1961,2
10,0.4174,1
11,0.3659,1
12,0.32939999999999997,2
13,0.35810000000000003,1
14,0.36960000000000004,1
15,0.4505,1
16,0.4482,1
17,0.5481,1
18,0.5574,2
19,0.8587,2
20,0.5741,1
21,0.714,1
22,0.9216,1
23,0.4278,1
24,0.6879,1
24,0.38539999999999996,1
23,0.4962,1
22,0.5398,1
21,0.4621,1
20,0.4596,1
19,0.8665,1
18,0.3561,1
17,0.6678,1
16,0.8443999999999999,1
15,0.5426,1
14,0.4616,2
13,0.5246000000000001,1
12,0.4111,2
11,0.2288,2
10,0.19080000000000003,2
9,0.2748,2
8,0.1739,2
7,0.18480000000000002,2
6,0.1992,2
5,0.156,2
4,0.1585,1
5,0.18359999999999999,1
6,0.5016,1
24,0.6961,1
22,0.5095,1
21,0.5502999999999999,1
20,0.639,1
19,0.3668,1
18,0.4021,1
17,0.7052,1
16,0.29919999999999997,2
15,0.48269999999999996,1
14,0.4749,1
13,0.6536000000000001,1
12,0.5528,1
11,0.1794,1
10,0.1943,1
9,0.2022,1
8,0.37010000000000004,1
7,0.24409999999999998,2
6,0.3993,1
5,0.2544,1
4,0.4094,1
3,0.42710000000000004,1
2,0.1809,2
1,0.1678,2
0,0.1978,2
0,0.172,1
0,0.1829,2
1,0.16440000000000002,2
2,0.18330000000000002,2
3,0.1745,1
4,0.19240000000000002,2
5,0.2288,1
6,0.155,1
7,0.2009,1
8,0.2839,2
9,0.3378,1
10,0.1995,1
11,0.2973,2
12,0.18930000000000002,1
13,0.17809999999999998,2
14,0.1844,2
15,0.4639,1
16,0.7916,1
17,0.43360000000000004,1
18,0.8336,2
19,0.5424,1
20,0.6247999999999999,1
21,0.6748,2
22,0.4792,1
23,0.6083,1
24,0.585,1
24,0.8617,1
24,0.6602,1
24,0.9015,2
24,0.6897000000000001,1
23,0.9589,1
22,0.6886,1
21,0.566,1
20,0.4727,1
19,0.497,1
18,0.5581,1
16,0.5564,1
15,0.31710000000000005,1
14,0.1981,1
13,0.2304,1
12,0.26230000000000003,1
11,0.4728,1
10,0.1895,2
9,0.2379,1
8,0.3445,1
7,0.2028,1
6,0.18930000000000002,2
5,0.1876,2
4,0.1839,2
3,0.1735,2
4,0.3735,1
5,0.1999,1
6,0.1884,2
7,0.2017,2
8,0.1713,1
9,0.2029,2
10,0.3445,1
11,0.3573,1
12,0.3517,2
13,0.6617999999999999,1
14,0.5153,1
15,0.42219999999999996,1
16,0.5561,1
17,0.483,2
18,0.4617,1
19,0.8412000000000001,2
20,0.326,1
21,0.42519999999999997,1
22,0.4679,1
23,0.7311,1
24,0.9982000000000001,2
24,0.5582,1
24,0.6464,1
24,0.6495,1
24,0.5317000000000001,1
